Active Ingredient,NDA #,Product Name,Company,Approval Date,P or E,Date Added,Patent Number,Expiration Date,Codes,Strengths,Delist Request,Orig,Analysis,Added strength,# added strengths,Applied to UC,2nd add,Comments
Ciprofloxacin,19857,Cipro in Dextrose 5% in Plastic Container*,BAYER HLTHCARE,,E,pre-2005,,3/25/07,I-421,1,,,Pre-2005,,null,,,
Ciprofloxacin,19857,Cipro in Dextrose 5% in Plastic Container*,BAYER HLTHCARE,,E,pre-2005,,9/25/07,PED,1,,,Pre-2005,,null,,,
Ciprofloxacin,19858,Cipro in Sodium Chloride 0.9% in Plastic Container*,BAYER PHARMS,12/26/90,P,pre-2005,4705789,11/10/04,,1,,,Pre-2005,,null,,,
Ciprofloxacin,19858,Cipro in Sodium Chloride 0.9% in Plastic Container*,BAYER PHARMS,,P,pre-2005,4808583,2/28/06,,1,,,Pre-2005,,null,,,
Ciprofloxacin,19858,Cipro in Sodium Chloride 0.9% in Plastic Container*,BAYER PHARMS,,P,pre-2005,4957922,9/18/07,,1,,,Pre-2005,,null,,,
Ciprofloxacin,19858,Cipro in Sodium Chloride 0.9% in Plastic Container*,BAYER PHARMS,,P,pre-2005,4705789*PED,5/10/05,,1,,,Pre-2005,,null,,,
Ciprofloxacin,19858,Cipro in Sodium Chloride 0.9% in Plastic Container*,BAYER PHARMS,,P,pre-2005,4808583*PED,8/28/06,,1,,,Pre-2005,,null,,,
Ciprofloxacin,19858,Cipro in Sodium Chloride 0.9% in Plastic Container*,BAYER PHARMS,,P,pre-2005,4957922*PED,3/18/08,,1,,,Pre-2005,,null,,,
Ciprofloxacin,20780,Cipro*,BAYER HLTHCARE,9/26/97,P,pre-2005,5695784,12/9/14,,"001, 002",,,Pre-2005,,null,,,
Ciprofloxacin,20780,Cipro*,BAYER HLTHCARE,,P,pre-2005,6136347,1/6/13,U-362,"001, 002",,,Pre-2005,,null,,,
Ciprofloxacin,20780,Cipro*,BAYER HLTHCARE,,P,pre-2005,5695784*PED,6/9/15,,"001, 002",,,Pre-2005,,null,,,
Ciprofloxacin,20780,Cipro*,BAYER HLTHCARE,,P,pre-2005,6136347*PED,7/6/13,,"001, 002",,,Pre-2005,,null,,,
Ciprofloxacin,20780,Cipro*,BAYER HLTHCARE,,E,pre-2005,,3/25/07,I-421,"001, 002",,,Pre-2005,,null,,,
Ciprofloxacin,20780,Cipro*,BAYER HLTHCARE,,E,pre-2005,,9/25/07,PED,"001, 002",,,Pre-2005,,null,,,
Ciprofloxacin,207986,Otiprio,OTONOMY INC,12/10/15,P,12/28/15,8318817,4/27/30,U-1792,1,,Yes,P:UCnew,,null,,,
Ciprofloxacin,207986,Otiprio,OTONOMY INC,,P,12/28/15,9205048,4/21/29,U-1793,1,,Yes,P:UCnew,,null,,,
Ciprofloxacin,207986,Otiprio,OTONOMY INC,,P,12/28/15,9220796,7/1/35,DP,1,,Yes,P:DP,,null,,,
Ciprofloxacin,207986,Otiprio,OTONOMY INC,,P,1/28/16,9233068,12/11/29,DP,1,,,P:DP,,null,,,
Ciprofloxacin,207986,Otiprio,OTONOMY INC,,P,3/28/18,9603796,4/21/29,"DS, DP, U-2252",1,,,P:DS/DP/UCnew,,null,,,
Ciprofloxacin,207986,Otiprio,OTONOMY INC,,E,3/28/18,,3/2/21,I-770,1,,,,,null,,,
Ciprofloxacin,207987,Otiprio,BELCHER PHARMS LLC,,E,1/28/16,,12/10/18,NP,1,,,,,null,,,
Ciprofloxacin Hydrochloride,19537,Cipro*,BAYER HLTHCARE,10/22/87,P,pre-2005,5286754,2/15/11,,"001, 002, 003, 004",,,Pre-2005,,null,,,
Ciprofloxacin Hydrochloride,19537,Cipro*,BAYER HLTHCARE,,P,pre-2005,5286754*PED,8/15/11,,"001, 002, 003, 004",,,Pre-2005,,null,,,
Ciprofloxacin Hydrochloride,19537,Cipro*,BAYER HLTHCARE,,E,pre-2005,,3/25/07,I-421,"001, 002, 003, 004",,,Pre-2005,,null,,,
Ciprofloxacin Hydrochloride,19537,Cipro*,BAYER HLTHCARE,,E,pre-2005,,9/25/07,PED,"001, 002, 003, 004",,,Pre-2005,,null,,,
Ciprofloxacin Hydrochloride,21744,Proquin XR,DEPOMED INC,5/19/05,E,5/28/5,,5/19/08,NDF,1,,Yes,NDF,,null,,,
Ciprofloxacin Hydrochloride,21744,Proquin XR,DEPOMED INC,,P,6/28/5,5972389,9/19/16,"DP, U-663",1,,Yes,P:DP/UCnew,,null,,,
Ciprofloxacin Hydrochloride,21744,Proquin XR,DEPOMED INC,,P,6/28/5,6340475,9/19/16,"DP, U-663",1,,Yes,P:DP/UC,,null,,,
Ciprofloxacin Hydrochloride,21744,Proquin XR,DEPOMED INC,,P,6/28/5,6488962,6/20/20,DP,1,,Yes,P:DP,,null,,,
Ciprofloxacin Hydrochloride,21744,Proquin XR,DEPOMED INC,,P,6/28/5,6635280,9/19/16,"DS, U-663",1,,Yes,P:DS/UC,,null,,,
Ciprofloxacin Hydrochloride,21744,Proquin XR,DEPOMED INC,,P,8/28/5,6635280,9/19/16,"DP, U-663",1,,No change,No change,,null,,,
Ciprofloxacin Hydrochloride,21918,Cetraxal,WRASER PHARMS,5/1/09,E,5/28/9,,5/1/12,NDF,1,,Yes,NDF,,null,,,
Ciprofloxacin Hydrochloride; Fluocinolone Acetonide,208251,Otovel,LABORATORIOS SALVAT,4/29/16,P,4/28/16,8932610,3/24/30,"DP, U-1578",1,,,P:DP/UCnew,,null,,,
Ciprofloxacin Hydrochloride; Fluocinolone Acetonide,208251,Otovel,LABORATORIOS SALVAT,,E,4/28/16,,4/29/19,NC,1,,,,,null,,,
Ciprofloxacin Hydrochloride; Hydrocortisone,20805,Cipro HC*,NOVARTIS,2/10/98,P,pre-2005,4844902,2/11/08,,1,,,Pre-2005,,null,,,
Ciprofloxacin Hydrochloride; Hydrocortisone,20805,Cipro HC*,NOVARTIS,,P,pre-2005,5965549,6/6/15,DP,1,,,Pre-2005,,null,,,
Ciprofloxacin Hydrochloride; Hydrocortisone,20805,Cipro HC,NOVARTIS,,P,4/28/5,4844902,2/11/08,DP,1,,No,DP,,null,,,
Ciprofloxacin Hydrochloride; Hydrocortisone,20805,Cipro HC,NOVARTIS,,P,4/28/5,5843930,7/6/15,U-646,1,,No,P:UCnew,,null,,,
Ciprofloxacin Hydrochloride; Hydrocortisone,20805,Cipro HC,NOVARTIS,,P,5/28/9,5843930,6/6/15,U-646,1,,No,PTDecrease,,null,,,
Ciprofloxacin; Ciprofloxacin Hydrochloride,21473,Cipro XR*,BAYER HLTHCARE,12/13/02,E,pre-2005,,12/13/05,NDF,"001, 002",,,Pre-2005,,null,,,
Ciprofloxacin; Ciprofloxacin Hydrochloride,21473,Cipro XR*,BAYER HLTHCARE,,E,pre-2005,,6/13/06,PED,"001, 002",,,Pre-2005,,null,,,
Ciprofloxacin; Ciprofloxacin Hydrochloride,21473,Cipro XR*,BAYER HLTHCARE,,E,pre-2005,,8/28/06,I-416,2,,,Pre-2005,,null,,,
Ciprofloxacin; Ciprofloxacin Hydrochloride,21473,Cipro XR*,BAYER HLTHCARE,,E,pre-2005,,8/28/06,NS,2,,,Pre-2005,,null,,,
Ciprofloxacin; Ciprofloxacin Hydrochloride,21473,Cipro XR*,BAYER HLTHCARE,,E,pre-2005,,2/28/07,PED,2,,,Pre-2005,,null,,,
Ciprofloxacin; Ciprofloxacin Hydrochloride,21473,Cipro XR*,BAYER HLTHCARE,,E,pre-2005,,2/28/07,PED,2,,,Pre-2005,,null,,,
Ciprofloxacin; Ciprofloxacin Hydrochloride,21473,Cipro XR,BAYER HLTHCARE,,E,5/28/5,,12/13/05,NC,"001, 002",,No,NC,,null,,,
Ciprofloxacin; Ciprofloxacin Hydrochloride,21473,Cipro XR,BAYER HLTHCARE,,E,5/28/5,,6/13/06,PED,"001, 002",,No,PED,,null,,,
Ciprofloxacin; Ciprofloxacin Hydrochloride,21473,Cipro XR,BAYER HLTHCARE,,P,5/28/10,7709022,6/23/21,DP,"001, 002",,No,P:DP,,null,,,
Ciprofloxacin; Ciprofloxacin Hydrochloride,21473,Cipro XR,BAYER HLTHCARE,,P,5/28/10,7709022*PED,12/23/21,,"001, 002",,No,P:PED,,null,,,
Ciprofloxacin; Ciprofloxacin Hydrochloride,21473,Cipro XR,BAYER HLTHCARE,,P,6/28/13,8187632,6/23/21,DP,"001, 002",,No,P:DP,,null,,,
Ciprofloxacin; Dexamethasone,21537,Ciprodex*,NOVARTIS,7/18/03,P,pre-2005,4844902,2/11/08,,1,,,Pre-2005,,null,,,
Ciprofloxacin; Dexamethasone,21537,Ciprodex*,NOVARTIS,,P,pre-2005,6284804,8/10/20,,1,,,Pre-2005,,null,,,
Ciprofloxacin; Dexamethasone,21537,Ciprodex*,NOVARTIS,,P,pre-2005,6359016,8/10/20,,1,,,Pre-2005,,null,,,
Ciprofloxacin; Dexamethasone,21537,Ciprodex*,NOVARTIS,,E,pre-2005,,7/18/06,NC,1,,,Pre-2005,,null,,,
Ciprofloxacin; Dexamethasone,21537,Ciprodex,NOVARTIS,,P,9/28/14,8846650,6/4/25,"DP, U-1578",1,,No,P:DP/UCnew,,null,,,
Ciprofloxacin; Dexamethasone,21537,Ciprodex,NOVARTIS,,P,10/28/15,9149486,9/13/22,"DP, U-1578",1,,No,P:DP/UC,,null,,,
Ciprofloxacin; Dexamethasone,21537,Ciprodex,NOVARTIS,,P,5/28/16,9345714,9/13/22,"DP, U-1578",1,,,P:DP/UCnew,,null,,,
Ciprofloxacin; Dexamethasone,21537,Ciprodex,NOVARTIS,,P,7/28/16,9402805,9/13/22,"DP, U-1578",1,,,P:DP/UC,,null,,,Potential error/correction. Same entry but different month
Ciprofloxacin; Dexamethasone,21537,Ciprodex,NOVARTIS,,P,8/28/16,9402805,9/13/22,"DP, U-1679",1,,,P:DP/UCnew,,null,,,
Ciprofloxacin; Dexamethasone,21537,Ciprodex,NOVARTIS,,P,8/28/16,9402805,9/13/22,"DP, U-1578",1,,,DP/UC,,null,,,Potential error/correction. Same entry but different month
Cisapride Monohydrate,20210,Propulsid*,JANSSEN PHARMS,7/29/93,P,pre-2005,4962115,10/9/07,U-79,"001, 002",,,Pre-2005,,null,,,
Cisapride Monohydrate,20398,Propulsid*,JANSSEN PHARMS,9/15/95,P,pre-2005,4962115,10/9/07,U-79,1,,,Pre-2005,,null,,,
Cisapride Monohydrate,20767,Propulsid Quicksolv*,JANSSEN PHARMA,11/7/97,P,pre-2005,4962115,10/9/07,U-79,1,,,Pre-2005,,null,,,
Cisapride Monohydrate,20767,Propulsid Quicksolv*,JANSSEN PHARMA,,P,pre-2005,5648093,7/15/14,,1,,,Pre-2005,,null,,,
Cisatracurium Besylate,20551,Nimbex; Nimbex Preservative Free*,ABBVIE,12/15/95,P,pre-2005,5453510,9/26/12,U-127,"001, 002, 003",,,Pre-2005,,null,,,
Citric Acid; Magnesium Oxide; Sodium Picosulfate,202535,Prepopik,FERRING PHARMS INC,7/16/12,E,8/28/18,,8/15/21,NPP,1,,,NPP,,null,,,
Citric Acid; Magnesium Oxide; Sodium Picosulfate,209589,Clenpiq,FERRING PHARMS INC,11/28/17,P,11/28/17,9827231,6/23/34,"DP, U-2162",1,,,P:DP/UCnew,,null,,,
Citric Acid; Masnesium Oxide; Sodium Picosulfate,202535,Prepopik,FERRING PHARMS INC,,E,7/28/12,,7/16/15,NP,1,,Yes,NP,,null,,,
Citric Acid; Masnesium Oxide; Sodium Picosulfate,202535,Prepopik,FERRING PHARMS INC,,P,5/28/13,8450338,10/10/28,DP,1,,No,P:DP,,null,,,
Citric Acid; Masnesium Oxide; Sodium Picosulfate,202535,Prepopik,FERRING PHARMS INC,,P,6/28/13,8481083,10/10/28,DP,1,,No,P:DP,,null,,,
Clarithromycin,50775,Biaxin XL,ABBVIE,3/3/00,P,11/28/8,6010718,4/11/17,"DP, U-924",1,,No,P:DP/UCnew,,null,,,
Clarithromycin,50775,Biaxin XL,ABBVIE,,P,11/28/8,6552616,7/15/17,U-924,1,,No,P:UC,,null,,,
Clarithromycin,50775,Biaxin XL,ABBVIE,,P,3/28/9,6551616,7/15/17,U-924,1,,No change,No change,,null,,,
Clevidipine,22156,Cleviprex,CHIESI USA INC,8/1/08,E,8/28/8,,8/1/13,NCE,1,,Yes,NCE,,null,,,
Clevidipine,22156,Cleviprex,CHIESI USA INC,,P,9/28/8,5739152,4/14/15,"DP, U-893","001, 002",,Yes,P:DP/UCnew,,null,,,
Clevidipine,22156,Cleviprex,CHIESI USA INC,,P,9/28/8,5856346,1/5/16,"DS, DP, U-893","001, 002",,Yes,P:DS/DP/UC,,null,,,
Clevidipine,22156,Cleviprex,CHIESI USA INC,,E,9/28/8,,8/1/13,NCE,2,,Yes,Added to other strength,NCE,null,,,
Clevidipine,22156,Cleviprex,CHIESI USA INC,,P,10/28/8,5739152,4/14/15,"DP, U-893","001, 002",,No change,No change,,null,,,
Clevidipine,22156,Cleviprex,CHIESI USA INC,,P,10/28/8,5856346,1/5/16,"DS, DP, U-893","001, 002",,No change,No change,,null,,,
Clevidipine,22156,Cleviprex,CHIESI USA INC,,P,3/28/12,5856346,1/5/21,"DS, DP, U-893","001, 002",,No,PTAorPTE,,null,,,
Clevidipine,22156,Cleviprex,CHIESI USA INC,,P,2/28/14,5739152,4/14/15,"DP, U-893",3,,No,Added to other strength,P:DP/UC,null,,,
Clevidipine,22156,Cleviprex,CHIESI USA INC,,P,2/28/14,5856346,1/5/21,"DS, DP, U-893",3,,No,Added to other strength,P:DS/DP/UC,null,,,
Clevidipine,22156,Cleviprex,CHIESI USA INC,,P,2/28/14,8658676,10/10/31,DP,"001, 002, 003",,No,P:DP,,null,,,
Clevidipine,22156,Cleviprex,CHIESI USA INC,,P,7/28/18,10010537,10/10/31,DP,"001, 002, 003",,,P:DP,,null,,,
Clindamycin Phosphate,50767,Cleocin,PHARMACIA AND UPJOHN,8/13/99,P,11/28/8,6495157,7/20/20,DP,1,,No,P:DP,,null,,,
Clindamycin Phosphate,50782,Clindagel,BAUSCH,11/27/00,P,11/28/8,6387383,8/3/20,"DP, U-818",1,,No,P:DP/UCnew,,null,,,
Clindamycin Phosphate,50793,Clindesse,PERRIGO PHARMA INTL,11/30/04,P,9/28/9,5266329,11/30/10,DP,1,,No,P:DP,,null,,,
Clindamycin Phosphate,50793,Clindesse,PERRIGO PHARMA INTL,,P,9/28/9,5993856,11/17/17,"DP, U-137",1,,No,P:DP/UCnew,,null,,,
Clindamycin Phosphate,50793,Clindesse,PERRIGO PHARMA INTL,,P,9/28/9,6899890,4/27/23,"DP, U-137",1,,No,P:DP/UC,,null,,,
Clindamycin Phosphate,50793,Clindesse,PERRIGO PHARMA INTL,,P,12/28/17,9789057,12/2/26,"DP, U-137",1,,,P:DP/UCnew,,null,,,
Clindamycin Phosphate,50801,Evoclin,MYLAN,10/22/04,P,11/28/8,7141237,1/23/24,"DS, DP",1,,No,P:DS/DP,,null,,,
Clindamycin Phosphate,50801,Evoclin,MYLAN,,P,11/28/8,7374747,8/9/26,"DS, DP, U-921",1,,No,P:DS/DP/UCnew,,null,,,
Clindamycin Phosphate; Tretinoin,50802,Ziana,MEDICIS,11/7/06,P,11/28/8,5721275,2/24/15,DP,1,,No,P:DP,,null,,,
Clindamycin Phosphate; Tretinoin,50802,Ziana,MEDICIS,,P,11/28/8,6387383,8/3/20,"DP, U-916",1,,No,P:DP/UCnew,,null,,,
Clindamycin Phosphate; Tretinoin,50802,Ziana,MEDICIS,,P,2/28/10,RE41134,2/24/15,"DP, U-1033",1,,No,P:DP/UCnew,,null,,,
Clindamycin Phosphate; Tretinoin,50803,Veltin,ALMIRALL,7/16/10,P,8/28/10,5690923,11/25/14,DP,,,Yes,P:DP,,null,,,
Clindamycin Phosphate; Tretinoin,50803,Veltin,ALMIRALL,,P,12/28/16,9492384,8/31/25,"DP, U-1412",1,,,P:DP/UCnew,,null,,,
Clobazam,202067,Onfi,LUNDBECK PHARMS LLC,10/21/11,E,10/28/11,,10/21/16,NCE,"001, 002, 003",,Yes,NCE,,null,,,
Clobazam,202067,Onfi,LUNDBECK PHARMS LLC,,E,11/28/11,,10/21/18,ODE,"001, 002, 003",,Yes,ODE,,null,,,
Clobazam,203993,Onfi,LUNDBECK PHARMS LLC,12/14/12,E,12/28/12,,10/21/16,NCE,1,,Yes,NCE,,null,,,
Clobazam,203993,Onfi,LUNDBECK PHARMS LLC,,E,2/28/13,,10/21/18,ODE,1,,Yes,ODE,,null,,,
Clobazam,210833,Sympazan,AQUESTIVE THERAP,11/1/18,P,11/28/18,8603514,4/3/24,DP,"001, 002, 003",,,P:DP,,null,,,
Clobazam,210833,Sympazan,AQUESTIVE THERAP,,P,11/28/18,8765167,2/20/24,DP,"001, 002, 003",,,P:DP,,null,,,
Clobetasol Propionate,21142,Olux*,MYLAN,5/26/00,P,pre-2005,6126920,10/3/17,U-484,1,,,Pre-2005,,null,,,
Clobetasol Propionate,21142,Olux*,MYLAN,,E,pre-2005,,12/20/05,I-374,1,,,Pre-2005,,null,,,
Clobetasol Propionate,21142,Olux,MYLAN,,P,1/28/9,6126920,3/1/16,U-484,1,,No,PTDecrease,,null,,,
Clobetasol Propionate,21535,Clobex*,GALDERMA LABS LP,7/24/03,P,pre-2005,6106848,9/22/17,,1,,,Pre-2005,,null,,,
Clobetasol Propionate,21535,Clobex*,GALDERMA LABS LP,,E,pre-2005,,7/24/06,NDF,1,,,Pre-2005,,null,,,
Clobetasol Propionate,21644,Clobex*,GALDERMA LABS,2/5/04,E,pre-2005,,2/5/07,NDF,1,,,Pre-2005,,null,,,
Clobetasol Propionate,21644,Clobex,GALDERMA LABS,,P,12/28/7,7316810,6/17/19,DP,1,,No,P:DP,,null,,,
Clobetasol Propionate,21644,Clobex,GALDERMA LABS,,P,4/28/10,7700081,1/3/22,U-1044,1,,No,P:UCnew,,null,,,
Clobetasol Propionate,21644,Clobex,GALDERMA LABS,,P,11/28/11,8066975,6/17/19,DP,1,,No,P:DP,,null,,,
Clobetasol Propionate,21644,Clobex,GALDERMA LABS,,P,11/28/11,8066976,6/17/19,DP,1,,No,P:DP,,null,,,
Clobetasol Propionate,22013,Olux E,MYLAN,1/12/07,P,2/28/7,6730288,9/8/19,DP,1,,Yes,P:DP,,null,,,
Clobetasol Propionate,22013,Olux E,MYLAN,,P,2/28/7,7029659,9/9/19,DP,1,,Yes,P:DP,,null,,,
Clobetasol Propionate,22013,Olux E,MYLAN,,E,2/28/7,,1/12/10,NP,1,,Yes,NP,,null,,,
Clobetasol Propionate,22013,Olux E,MYLAN,,P,6/28/13,8460641,11/5/28,"DP, U-1410",1,,No,P:DP/UCnew,,null,,,
Clobetasol Propionate,22013,Olux E,MYLAN,,P,3/28/15,8962000,8/31/25,"DP, U-1410",1,,No,P:DP/UC,,null,,,
Clobetasol Propionate,209483,Impoyz,ENCORE DERMAT,11/28/17,E,11/28/17,,11/28/20,NP,1,,,,,null,,,
Clobetasol Propionate,209483,Impoyz,ENCORE DERMAT,,P,12/28/17,9855334,3/11/35,DP,1,,,P:DP,,null,,,
Clobetasol Propionate,209483,Impoyz,ENCORE DERMAT,,P,5/28/18,9956231,8/31/30,"DP, U-1408",1,,,P:DP/UCnew,,null,,,
Clobetasol Propionate,209483,Impoyz,ENCORE DERMAT,,P,5/28/18,9956231,8/31/30,"DP, U-1761",1,,,DP/UCnew,,null,,,
Clobetasol Propionate,209483,Impoyz,ENCORE DERMAT,,P,5/28/18,9956231,8/31/30,"DP, U-1858",1,,,DP/UCnew,,null,,,
Clobetasol Propionate,209483,Impoyz,ENCORE DERMAT,,P,5/28/18,9956231,8/31/30,"DP, U-193",1,,,DP/UCnew,,null,,,
Clobetasol Propionate,209483,Impoyz,ENCORE DERMAT,,P,5/28/18,9956231,8/31/30,"DP, U-742",1,,,DP/UCnew,,null,,,
Clobetasol Propionate,209483,Impoyz,ENCORE DERMAT,,P,5/28/18,9956231,8/31/30,"DP, U-88",1,,,DP/UCnew,,null,,,
Clobetasol Propionate,209483,Impoyz,ENCORE DERMAT,,P,8/28/18,1006487,8/31/30,"DP, U-1858",1,,,P:DP/UC,,null,,,
Clobetasol Propionate,209483,Impoyz,ENCORE DERMAT,,P,8/28/18,10064875,8/31/30,"DP, U-1408",1,,,P:DP/UC,,null,,,
Clobetasol Propionate,209483,Impoyz,ENCORE DERMAT,,P,8/28/18,10064875,8/31/30,"DP, U-193",1,,,DP/UC,,null,,,
Clobetasol Propionate,209483,Impoyz,ENCORE DERMAT,,P,8/28/18,10064875,8/31/30,"DP, U-742",1,,,DP/UC,,null,,,
Clobetasol Propionate,209483,Impoyz,ENCORE DERMAT,,P,8/28/18,10064875,8/31/30,"DP, U-88",1,,,DP/UC,,null,,,
Clobetasol Proprionate,21835,Clobex,GALDERMA LABS LP,10/27/05,P,7/28/6,5972920,2/12/18,DP,1,,No,P:DP,,null,,,
Clobetasol Proprionate,21835,Clobex,GALDERMA LABS LP,,P,7/28/6,5990100,3/24/18,"DP, U-742",1,,No,P:DP/UCnew,,null,,,
Clobetasol Proprionate,21835,Clobex,GALDERMA LABS LP,,E,7/28/6,,10/27/08,NDF,1,,No,NDF,,null,,,
Clofarabine,21673,Clolar*,GENZYME,12/28/04,P,pre-2005,4918179,6/14/05,DS,1,,,Pre-2005,,null,,,
Clofarabine,21673,Clolar*,GENZYME,,P,pre-2005,5384310,5/23/09,"DS, DP",1,,,Pre-2005,,null,,,
Clofarabine,21673,Clolar*,GENZYME,,P,pre-2005,5661136,8/26/14,U-626,1,,,Pre-2005,,null,,,
Clofarabine,21673,Clolar*,GENZYME,,E,pre-2005,,12/28/09,NCE,1,,,Pre-2005,,null,,,
Clofarabine,21673,Clolar*,GENZYME,,E,pre-2005,,12/28/11,ODE,1,,,Pre-2005,,null,,,
Clofarabine,21673,Clolar*,GENZYME,,E,pre-2005,,6/28/12,PED,1,,,Pre-2005,,null,,,
Clofarabine,21673,Clolar*,GENZYME,,E,pre-2005,,6/28/10,PED,1,,,Pre-2005,,null,,,
Clofarabine,21673,Clolar,GENZYME,,P,1/28/5,4918179,6/14/05,DS,1,,No change,No change,,null,,,
Clofarabine,21673,Clolar,GENZYME,,P,1/28/5,5384310,5/23/09,"DS, DP",1,,No change,No change,,null,,,
Clofarabine,21673,Clolar,GENZYME,,P,1/28/5,5661136,8/26/14,U-626,1,,No change,No change,,null,,,
Clofarabine,21673,Clolar,GENZYME,,P,2/28/8,5661136,1/14/18,U-626,1,,No,PTAorPTE,,null,,,
Clofarabine,21673,Clolar,GENZYME,,P,4/28/10,5661136,1/14/18,U-626,1,,No change,No change,,null,,,
Clofarabine,21673,Clolar,GENZYME,,P,4/28/10,5661136*PED,7/14/18,,1,,No,P:PED,,null,,,
Clonidine Hydrochloride,22331,Jenloga,CONCORDIA PHARMS INC,9/29/09,E,9/28/9,,9/29/12,NP,1,,Yes,NP,,null,,,
Clonidine Hydrochloride,22331,Jenloga,CONCORDIA PHARMS INC,,P,1/28/10,5869100,10/13/13,DP,1,,No,P:DP,,null,,,
Clonidine Hydrochloride,22331,Jenloga,CONCORDIA PHARMS INC,,P,7/28/10,5869100,10/13/13,DP,2,,No,Added to other strength,P:DP,null,,,
Clonidine Hydrochloride,22331,Kapvay,CONCORDIA PHARMS INC,,E,9/28/10,,9/28/13,NP,"003, 004",,No,Added to other strength,NP,null,,,
Clonidine Hydrochloride,22331,Kapvay,CONCORDIA PHARMS INC,,P,10/28/10,5869100,10/13/13,DP,"003, 004",,No,Added to other strength,P:DP,null,,,
Clonidine Hydrochloride,22331,Kapvay,CONCORDIA PHARMS INC,,P,11/28/10,5869100,10/13/13,DP,"003, 004",,No change,No change,,null,,,
Clonidine Hydrochloride,22331,Kapvay,CONCORDIA PHARMS INC,,E,11/28/14,,11/20/17,M-149,"003, 004",,No,M,,null,,,
Clopidogrel Bisulfate,20839,Plavix*,SANOFI AVENTIS US,11/17/97,P,pre-2005,4847265,11/17/11,,1,,,Pre-2005,,null,,,
Clopidogrel Bisulfate,20839,Plavix*,SANOFI AVENTIS US,,P,pre-2005,5576328,1/31/14,U-432,1,,,Pre-2005,,null,,,
Clopidogrel Bisulfate,20839,Plavix*,SANOFI AVENTIS US,,P,pre-2005,6429210,6/10/19,,1,,,Pre-2005,,null,,,
Clopidogrel Bisulfate,20839,Plavix*,SANOFI AVENTIS US,,P,pre-2005,6504030,6/10/19,,1,,,Pre-2005,,null,,,
Clopidogrel Bisulfate,20839,Plavix*,SANOFI AVENTIS US,,E,pre-2005,,2/27/05,I-349,1,,,Pre-2005,,null,,,
Clopidogrel Bisulfate,20839,Plavix,SANOFI AVENTIS US,,E,8/28/6,,8/17/09,I-502,1,,No,I,,null,,,
Clopidogrel Bisulfate,20839,Plavix,SANOFI AVENTIS US,,E,10/28/7,,8/17/09,I-502,2,,No,Added to other strength,I,null,,,
Clopidogrel Bisulfate,20839,Plavix,SANOFI AVENTIS US,,E,11/28/7,,8/17/09,I-502,2,,No change,No change,,null,,,
Clopidogrel Bisulfate,20839,Plavix,SANOFI AVENTIS US,,P,3/28/8,5576328,1/31/14,U-432,1,Y,No,DelistRequest,,null,,,
Clopidogrel Bisulfate,20839,Plavix,SANOFI AVENTIS US,,P,2/28/9,4847265,11/17/11,"DS, DP",2,,No,DS/DP,,null,,,
Clopidogrel Bisulfate,20839,Plavix,SANOFI AVENTIS US,,P,2/28/9,4847265,11/17/11,"DS, DP",2,,No,Added to other strength,P:DS/DP,null,,X,
Clopidogrel Bisulfate,20839,Plavix,SANOFI AVENTIS US,,P,2/28/9,6429210,6/10/19,"DS, DP",2,,No,DS/DP,,null,,,
Clopidogrel Bisulfate,20839,Plavix,SANOFI AVENTIS US,,P,2/28/9,6429210,6/10/19,"DS, DP",2,,No,Added to other strength,P:DS/DP,null,,X,
Clopidogrel Bisulfate,20839,Plavix,SANOFI AVENTIS US,,P,2/28/9,6504030,6/10/19,DS,2,,No,DS,,null,,,
Clopidogrel Bisulfate,20839,Plavix,SANOFI AVENTIS US,,P,2/28/9,6504030,6/10/19,DS,2,,No,Added to other strength,P:DS,null,,X,
Clopidogrel Bisulfate,20839,Plavix,SANOFI AVENTIS US,,P,1/28/11,4847265,11/17/11,"DS, DP","001, 002",,No,Added to other strength,DS/DP,null,,,
Clopidogrel Bisulfate,20839,Plavix,SANOFI AVENTIS US,,P,1/28/11,5576328,1/31/14,U-432,1,Y,No change,No change,,null,,,
Clopidogrel Bisulfate,20839,Plavix,SANOFI AVENTIS US,,P,1/28/11,6429210,6/10/19,"DS, DP","001, 002",,No,Added to other strength,DS/DP,null,,,
Clopidogrel Bisulfate,20839,Plavix,SANOFI AVENTIS US,,P,1/28/11,6504030,6/10/19,DS,"001, 002",,No,Added to other strength,DS,null,,,
Clopidogrel Bisulfate,20839,Plavix,SANOFI AVENTIS US,,P,1/28/11,4847265*PED,5/17/12,,"001, 002",,No,P:PED,,null,,,
Clopidogrel Bisulfate,20839,Plavix,SANOFI AVENTIS US,,P,1/28/11,5576328*PED,7/31/14,,1,,No,P:PED,,null,,,
Clopidogrel Bisulfate,20839,Plavix,SANOFI AVENTIS US,,P,1/28/11,6429210*PED,12/10/19,,"001, 002",,No,P:PED,,null,,,
Clopidogrel Bisulfate,20839,Plavix,SANOFI AVENTIS US,,P,1/28/11,6504030*PED,12/10/19,,"001, 002",,No,P:PED,,null,,,
Clopidogrel Bisulfate,20839,Plavix,SANOFI AVENTIS US,,E,5/28/11,,5/6/14,M-61,"001, 002",,No,M,,null,,,
Clopidogrel Bisulfate,20839,Plavix,SANOFI AVENTIS US,,E,5/28/11,,11/6/14,PED,"001, 002",,No,PED,,null,,,
