Drug,Patent/ appln.No.,Assignee,Condition(s) Treated,Drug Type,Family,Priority Date,File Date,Publication/Granted/Re-Issued Date,Expiry Date,Status,Patent Type,Description,Before/After FDA Approval,Orange / Purple Book,Google Patents URL
Enbrel,US5712155 ,Immunex,Arthritis,Biologic,1,9/5/1989,11/29/1994,1/27/1998,9/14/2015,Expired,Product,"The patent claims cover an isolated DNA sequence selected from the group consisting of: (a) a DNA sequence that encodes a polypeptide having the amino acid sequence selected from the group consisting of amino acids 1 to X of FIG. 2A and amino acids 1 to 233, wherein X is an amino acid from 163 to 235; and
(b) a DNA sequence capable of hybridization to the complement of the DNA sequence of (a) under moderately stringent conditions (50° C., 2× SSC) and which encodes a polypeptide that is capable of binding to TNF and which is at least 88% identical to a polypeptide encoded by the DNA of (a).",Before,No,https://patents.google.com/patent/US5712155A/en?oq=US5712155
Enbrel,US5605690 ,Immunex,Arthritis,Biologic,1,9/5/1989,2/8/1995,2/25/1997,2/25/2014,Expired,Method of Treatment,"The patent claims cover a method for lowering the levels of active TNF-α in a mammal in need thereof which comprises administering to said mammal a TNF-lowering amount of a TNF antagonist selected from the group consisting of: (a) a TNF receptor comprising the sequence of amino acids 3-163 of SEQ ID NO:1; and
(b) a chimeric antibody comprising a TNF receptor according to (a) fused to the constant domain of an immunoglobulin molecule.",Before,No,https://patents.google.com/patent/US5605690A/en?oq=US5605690+
Enbrel,US6541610 ,Immunex,Arthritis,Biologic,1,9/5/1989,3/20/1995,4/1/2003,4/1/2020,Expired,Product,"The patent claims cover an isolated DNA molecule that encodes a fusion protein comprising two tumor necrosis factor receptor (TNFR) polypeptides and one interleukin-1 receptor (IL-1R) polypeptide, wherein said fusion protein is of a formula selected from: TNFR-linker-TNFR-linker-IL-1R; and IL-1R-linker-TNFR-linker-TNFR,
wherein each linker is a peptide linker; and wherein each TNFR represents a soluble TNFR.2. An isolated DNA molecule that encodes a fusion protein; or a vector, or the fusion protein",Before,No,https://patents.google.com/patent/US6541610B1/en?oq=US6541610
Enbrel,US5808029 ,Hoffman La Roche,Arthritis,Biologic,2,9/12/1989,5/19/1995,9/15/1998,9/15/2015,Expired,Product,The patent claims a polynucleotide with a defined sequence.,Before,No,https://patents.google.com/patent/US5808029A/en?oq=US5808029
Enbrel,US8063182,Hoffman La Roche,Arthritis,Biologic,2,9/12/1989,5/19/1995,11/22/2011,11/22/2028,Active,Product,"The patent claims cover a human tumor necrosis factor (TNF)-binding soluble fragment of an insoluble human TNF receptor, wherein the insoluble human TNF receptor (i) specifically binds human TNF, (ii) has an apparent molecular weight of about 75 kilodaltons on a non-reducing SDS-polyacrylamide gel, and (iii) comprises the amino acid sequence LPAQVAFXPYAPEPGSTC (SEQ ID NO: 10); and
(b) all of the domains of the constant region of a human immunoglobulin IgG heavy chain other than the first domain of said constant region;wherein said protein specifically binds human TNF. This is the primary patent covering etanercept .",Before,No,https://patents.google.com/patent/US8063182B1/en?oq=US8063182
Enbrel,US8163522,Hoffman La Roche,Arthritis,Biologic,2,9/12/1989,5/19/1995,4/24/2012,4/24/2029,Active,Method of Production/Process,"The patent claims cover a  method comprising the steps of: (a) culturing a host cell comprising a polynucleotide, wherein the polynucleotide encodes a protein consisting of: (i) the extracellular region of an insoluble human TNF receptor, wherein the insoluble human TNF receptor has an apparent molecular weight of about 75 kilodaltons as determined on a non-reducing SDS polyacrylamide gel and comprises the amino acid sequence LPAQVAFXPYAPEPGSTC (SEQ ID NO: 10), and (ii) all of the domains of the constant region of a human IgG immunoglobulin heavy chain other than the first domain of said constant region, and (b) purifying an expression product of the polynucleotide from the cell mass or the culture medium.",Before,No,https://patents.google.com/patent/US8163522B1/en?oq=US8163522
Enbrel,US5741667 ,Genentech,Arthritis,Biologic,6,5/27/1994,5/22/1995,4/21/1998,4/21/2015,Expired,Product,"The patent claims cover an isolated nucleic acid molecule comprising a nucleotide sequence encoding a native mammalian TRAF1 or TRAF2 protein or a TRAF protein, comprising at least amino acids 180 to 409 of SEQ. ID. NO: 2, or at least amino acids 272 to 501 of SEQ. ID. NO: 4.",Before,No,https://patents.google.com/patent/US5741667A/en?oq=US5741667+
Enbrel,US5945397 ,Immunex,Arthritis,Biologic,1,9/5/1989,5/16/1996,8/31/1999,9/5/2009,Expired,Formulation,"The patent claims cover a  composition consisting essentially of a protein comprising a sequence of amino acids selected from the group consisting of amino acids 1-163 of SEQ ID NO:2 and amino acids 1-233 of SEQ ID NO:4, wherein said protein is capable of binding TNF.",Before,No,https://patents.google.com/patent/US5945397A/en?oq=US5945397
Enbrel,US5869612 ,Genentech,Arthritis,Biologic,6,5/27/1994,11/5/1996,2/9/1999,5/27/2014,Expired,Product,The patent claims cover an isolated tumor necrosis factor receptor associated factor (TRAF) comprising an amino acid sequence selected from the group consisting of: (1) the N-terminal RING finger domain of TRAF2 of SEQ. ID. NO: 4; (2) amino acids 180 to 409 of TRAF1 of SEQ. ID. NO: 2; (3) amino acids 272 to 501 of TRAF2 of SEQ. ID. NO: 4; (4) amino acids 2-181 of TRAF1 of SEQ. ID. NO: 2; and (5) amino acids 1-162 of TRAF2 of SEQ. ID. NO: 4.,Before,No,https://patents.google.com/patent/US5869612A/en?oq=US5869612
Enbrel,US6500922 ,Genentech,Arthritis,Biologic,6,5/27/1994,1/7/1997,12/31/2002,5/27/2014,Expired,Product,"The patent claims cover an isolated human tumor necrosis factor receptor associated factor (TRAF) prepared by (a) screening a human recombinant cDNA library prepared from tissue expressing human TNF-R2 at a detectable level with one or more labeled oligonucleotide probe(s) having about 30 to 50 bases derived from the nucleotide sequence encoding marine TRAF1 (SEQ. ID. NO:1) or murine TRAF2 (SEQ. ID. NO:3), wherein said probe(s) are designed based on TRAF1 or TRAF2 regions which have the least codon redundance, under stringent conditions comprising overnight incubation at 42° C. in a solution comprising 20% formamide, 5×SSC, 50 mM sodium phosphate (pH7.6), 5×Denhardt's solution, 10% dextran sulfate, and 20 g/ml denature, sheared salmon sperm DNA;
(b) inserting the DNA hybridizing to said probe(s) into a replicable expression vector; (c) transforming a recombinant host cell with said expression vector; (d) culturing the transformed host cell; and (e) recovering said human TRAF.",Before,No,https://patents.google.com/patent/US6500922B1/en?oq=US6500922
Enbrel,US6027915,Immunex,Arthritis,Biologic,8,1/11/1996,1/13/1997,2/22/2000,1/11/2016,Expired,Method of Production/Process,"The patent claims cover an isolated expression augmenting sequence element (EASE), selected from the group consisting of DNAs comprising nucleotides 1 through 14507, nucleotides 5980 through 14507, nucleotides 8671 through 14507, nucleotides 8671 through 10515, nucleotides 9277 through 10515, nucleotides 8672 through 12273, nucleotides 10100 through 14293 of SEQ ID NO:1, fragments of the foregoing DNAs that have expression augmenting activity and that are at least 603 bp in length, DNAs complementary to the foregoing DNAs, DNAs that are at least about 80% identical in nucleotide sequence to the foregoing DNAs and that have expression augmenting activity, and combinations of the foregoing DNAs that have expression augmenting activity.",Before,No,https://patents.google.com/patent/US6027915A/en?oq=US6027915
Enbrel,USRE36755 ,Immunex,Arthritis,Biologic,1,9/5/1989,8/31/1998,6/27/2000,10/23/2012,Expired,Product,The patent claims cover an isolated DNA sequence or an expression vector that allow for production of a peptide that binds to TNF,Before,No,https://patents.google.com/patent/USRE36755E/en?oq=USRE36755
Enbrel,US6201105 ,Immunex,Arthritis,Biologic,1,9/5/1989,1/20/1999,3/13/2001,9/5/2009,Expired,Product,The patent claims cover are combinant protein comprising amino acids 1-163 and wherein said recombinant protein binds TNF.,After,No  ,https://patents.google.com/patent/US6201105B1/en?oq=US6201105
Enbrel,US6306820,Amgen,Arthritis,Biologic,9,12/6/1996,6/4/1999,10/23/2001,12/8/2017,Expired,Formulation,"The patent claims cover a pharmaceutical composition comprising a TNF binding protein and a Fas antigen and a method for treating septic shock which comprises administering to a patient in need thereof therapeutically effective amounts of a TNF binding protein which is administered prior to, concurrently with or after administration of a Fas antigen.",After,No,https://patents.google.com/patent/US6306820B1/en?oq=US6306820
Enbrel,US6312951 ,Immunex,Arthritis,Biologic,8,1/11/1996,11/5/1999,11/6/2001,1/11/2016,Expired,Method of Production/Process,"The patent claims cover an  isolated expression augmenting sequence element (EASE), selected from the group consisting of DNAs comprising nucleotides 46 through 14507, nucleotides 5980 through 14507, nucleotides 8671 through 14507, nucleotides 8671 through 10515, nucleotides 9277 through 10515, nucleotides 8672 through 12273, nucleotides 10100 through 14293 of SEQ ID NO: 1, fragments of the foregoing DNAs that have expression augmenting activity, DNAs complementary to the foregoing DNAs, DNAs that are at least about 80% identical in nucleotide sequence to the foregoing DNAs and that have expression augmenting activity, and combinations of the foregoing DNAs that have expression augmenting activity..",After,No,https://patents.google.com/patent/US6312951B1/en?oq=US6312951
Enbrel,US6309841 ,Immunex,Arthritis,Biologic,8,1/11/1996,9/12/2000,10/30/2001,1/11/2016,Expired,Product,"The patent claims cover a polynucleotide selected from the group consisting of DNA comprising nucleotides 11303-12192 of SEQ ID NO:1, nucleotides 11538-12165 of SEQ ID NO:1, fragments of the foregoing DNA that have expression augmenting activity, DNA complementary to the foregoing DNA, and combinations of the foregoing DNA that have expression augmenting activity.",After,No,https://patents.google.com/patent/US6309841B1/en?oq=US6309841
Enbrel,US6808902 ,Amgen,Arthritis,Biologic,5,11/12/1999,11/9/2000,10/26/2004,11/9/2020,Expired,Process,"The patent claims cover a process for preparing a pharmacologically active compound, which comprises:(a) preparing in E. Coli a pharmacologically active compound comprising IL-1ra, wherein said IL-1ra is fused to an Fc domain (b) refolding the pharmacologically active compound with a copper (II) halide in a concentration of at least about 10 mM; and
(c) isolating the treated fusion molecule.",After,No,https://patents.google.com/patent/US6808902B1/en?oq=US6808902
Enbrel,US6572852 ,Immunex,Arthritis,Biologic,1,9/5/1989,1/12/2001,6/3/2003,9/5/2009,Expired,Method of Treatment,"The patent claims cover a method of suppressing a TNF-dependent inflammatory response in a mammal comprising administering an effective amount of recombinant tumor necrosis factor receptor (TNFR) to a mammal afflicted with said inflammatory response, wherein said recombinant TNFR comprises amino acids 1-163 of SEQ ID NO:2.",After,No,https://patents.google.com/patent/US6572852B2/en?oq=US6572852
Enbrel,US2001021380 ,Immunex,Arthritis,Biologic,7,4/19/1999,2/7/2001,9/13/2001,,Abandoned,Method of Treatment,The application claimed a method of treating a human patient having tropical spastic paraparesis/HTLV-1 associated myelopathy comprising administering to said patient a therapeutically effective amount of a TNFα inhibitor.,After,No,https://patents.google.com/patent/US20010021380A1/en?oq=US2001021380+
Enbrel,US2002119924,Amgen,Arthritis,Biologic,9,12/6/1996,7/17/2001,8/29/2002,,Abandoned,Method of Treatment,"The application claimed a method for treating an acute or chronic inflammatory disease which comprises administering to a patient in need thereof therapeutically effective amounts of a TNF binding protein and at least one additional anti-inflammatory drug, wherein said TNF binding protein and additional anti-inflammatory drug are administered separately or in combination. ",After,No,https://patents.google.com/patent/US20020119924A1/en?oq=US2002119924
Enbrel,US6596514 ,Immunex,Arthritis,Biologic,8,1/11/1996,10/9/2001,7/22/2003,7/11/2016,Expired,Product,"The patent claims cover an isolated polynucleotide, comprising a nucleic acid molecule selected from the group consisting of nucleotides 11538-11692 of SEQ ID NO:1, nucleotides 11538-11760 of SEQ ID NO:1, nucleotides 11673-12165 of SEQ ID NO:1, nucleotides 11813-12165 of SEQ ID NO:1, nucleotides 11899-12165 of SEQ ID NO:1, fragments of the foregoing DNA that have expression augmenting activity, DNA complementary to the foregoing DNA, and combinations of the foregoing DNA that have expression augmenting activity. ",After,No,https://patents.google.com/patent/US6596514B2/en?oq=US6596514
Enbrel,US2003082736 ,Immunex,Arthritis,Biologic,1,9/5/1989,9/24/2002,5/1/2003,,Abandoned,Product,The application claimed a fusion protein comprising a human tumor necrosis factor receptor (TNF-R) and a human interleukin-1 receptor (IL-1R).2. ,After,No,https://patents.google.com/patent/US20030082736A1/en?oq=US2003082736
Enbrel,US7244836 ,Genentech,Arthritis,Biologic,6,5/27/1994,10/30/2002,7/17/2007,11/22/2014,Expired,Product,The patent claims cover an isolated nucleic acid molecule comprising a nucleotide sequence that can hybridize under stringent conditions to the coding sequence of SEQ ID NO:1 or the complement thereof.,After,No,https://patents.google.com/patent/US7244836B2/en?oq=US7244836
Enbrel,US2003148955 ,Immunex,Arthritis,Biologic,7,4/19/1999,12/9/2002,8/7/2003,,Abandoned,Method of Treatment,"The application claimed a method of preventing or reducing resistance to imatinib in a chronic myelogenous leukemia patient comprising administering TNFR:Fc to a chronic myelogenous leukemia patient, wherein said patient is treated concurrently with imatinib.",After,No,https://patents.google.com/patent/US20030148955A1/en?oq=US2003148955
Enbrel,US2003180287 ,Immunex,Arthritis,Biologic,3,2/27/2002,2/27/2003,9/25/2003,,Abandoned,Formulation,"The application claimed a  pharmaceutical composition that is a stable aqueous formulation comprising an Fc domain containing polypeptide and an aggregation inhibitor, wherein the aggregation inhibitor is L-arginine.",After,No,https://patents.google.com/patent/US20030180287A1/en?oq=US2003180287
Enbrel,US7057022 ,Immunex,Arthritis,Biologic,1,9/5/1989,4/23/2003,6/6/2006,9/5/2009,Expired,Product,"The patent claims cover a purified antibody that specifically binds TNF-R, wherein said TNF-R is a polypeptide consisting of the amino acid sequence set forth in SEQ ID NO:2.",After,No,https://patents.google.com/patent/US7057022B2/en?oq=US7057022
Enbrel,US2004047863,Amgen,Arthritis,Biologic,9,12/6/1996,7/16/2003,3/11/2004,,Abandoned,Method of Treatment,"The application claimed a  method for treating an acute or chronic inflammatory disease which comprises administering to a patient in need thereof therapeutically effective amounts of a TNF binding protein and at least one additional anti-inflammatory drug, wherein said TNF binding protein and additional anti-inflammatory drug are administered separately or in combination.",After,No,https://patents.google.com/patent/US20040047863A1/en?oq=US2004047863
Enbrel,US2004048799,Amgen,Arthritis,Biologic,9,12/6/1996,7/16/2003,3/11/2004,,Abandoned,Method of Treatment,"The application claimed a method for treating an acute or chronic inflammatory disease which comprises administering to a patient in need thereof therapeutically effective amounts of a TNF binding protein and at least one additional anti-inflammatory drug, wherein said TNF binding protein and additional anti-inflammatory drug are administered separately or in combination.",After,No,https://patents.google.com/patent/US20040048799A1/en?oq=US2004048799
Enbrel,US2004220103 ,Immunex,Arthritis,Biologic,7,4/19/1999,5/25/2004,11/4/2004,,Abandoned,Method of Treatment,"The application claimed a method for treating a human patient suffering from a hereditary condition comprising administering to the patient a therapeutically effective amount of a TNFα inhibitor, wherein the hereditary condition is selected from the group consisting of Gaucher's disease, Huntington's disease, linear IgA disease, and muscular dystrophy.",After,No,https://patents.google.com/patent/US20040220103A1/en?oq=US2004220103
Enbrel,US7276477 ,Amgen,Arthritis,Biologic,4,8/1/2003,7/29/2004,10/2/2007,11/18/2024,Active,Crystal Form,The patent claims cover a crystal of etanercept in the form of a needle or a rod.,After,No,https://patents.google.com/patent/US7276477B2/en?oq=US7276477
Enbrel,US7723490 ,Amgen,Arthritis,Biologic,5,11/12/1999,8/24/2004,5/25/2010,3/26/2021,Expired,Process,"The patent claims cover a process for preparing a pharmacologically active compound, which comprises: (a) preparing an active compound which is a fusion molecule comprising a pharmacologically active domain and an Fc domain; (b) incubating the active compound with copper (II) chloride (CuCl2) at a concentration from about 10 mM to 50 mM; and (c) subsequently isolating the active compound",After,No,https://patents.google.com/patent/US7723490B2/en?oq=US7723490
Enbrel,US2007264257 ,Wyeth,Arthritis,Biologic,10,10/8/2004,10/11/2005,11/15/2007,,Abandoned,Method of Treatment,The application claimed a  method for treating an autoimmune disease in a subject comprising: administering to the subject a therapeutically effective amount of: (a) a B cell depleting agent; and (b) at least one anti-cytokine agent.,After,No,https://patents.google.com/patent/US20070264257A1/en?oq=US2007264257
Enbrel,US7459528 ,Immunex,Arthritis,Biologic,1,9/5/1989,10/28/2005,12/2/2008,9/5/2009,Expired,Product,"The patent claims cover an isolated glycoprotein that is capable of binding TNF, wherein said glycoprotein comprises amino acids 1-163 of SEQ ID NO:2 and is not isolated from human urine.",After,No,https://patents.google.com/patent/US7459528B2/en?oq=US7459528
Enbrel,US2006275868 ,Immunex,Arthritis,Biologic,1,9/5/1989,6/13/2006,12/7/2006,,Abandoned,Product,"The application claimed a fusion protein of the formula: TNF-R-peptide linker-IL-1R and a method for treating a condition mediated by tumor necrosis factor and by interleukin-1, comprising administering a therapeutically effective amount of a pharmaceutical composition.",After,No,https://patents.google.com/patent/US20060275868A1/en?oq=US2006275868
Enbrel,US8008453B2,Amgen,Arthritis,Biologic,42,8/12/2005,8/10/2006,8/30/2011,5/28/2030,Active,Formulation,The patent claims cover a  composition of many derivative types of etanercept.,After,No,https://patents.google.com/patent/US8008453B2/en?oq=US8008453B2
Enbrel,US7648702 ,Immunex,Arthritis,Biologic,3,2/27/2002,4/6/2007,1/19/2010,2/27/2023,Active,Formulation,"The patent claims cover a pharmaceutical composition that is a stable aqueous formulation comprising a polypeptide that is an extracellular ligand-binding portion of a human p75 tumor necrosis factor receptor fused to the Fe region of a human IgG1 and an aggregation inhibitor, wherein the aggregation inhibitor is L-arginine at a concentration of from about 10 mM to about 200 mM.
 ",After,No,https://patents.google.com/patent/US7648702B2/en?oq=US7648702
Enbrel,US7754858 ,Genentech,Arthritis,Biologic,6,5/27/1994,6/7/2007,7/13/2010,5/27/2014,Expired,Product,The patent claims cover an antibody capable of specific binding to a native tumor necrosis factor receptor associated factor (TRAF) polypeptide consisting of an amino acid sequence selected from the group consisting of: (a) amino acid residues 180 to 409 of TRAF1 of SEQ. ID. NO: 2; and(b) amino acid residues 2-181 of TRAF1 of SEQ. ID. NO: 2.,After,No,https://patents.google.com/patent/US7754858B2/en?oq=US7754858
Enbrel,US2009270592 ,Immunex,Arthritis,Biologic,1,9/5/1989,10/24/2007,10/29/2009,,Abandoned,Method of Production/Process,"The application claimed a purified preparation of a protein,wherein the protein comprises amino acids 1-163 of SEQ ID NO:2,wherein the protein has been purified by a method comprising the following steps:(a) concentrating a supernatant from a mammalian cell culture which contains the protein; (b) purifying the protein in the concentrated supernatant by subjecting it to affinity chromatography and/or ion exchange chromatography.",After,No,https://patents.google.com/patent/US20090270592A1/en?oq=US2009270592
Enbrel,US2008213282,Amgen,Arthritis,Biologic,11,12/21/2006,12/19/2007,9/4/2008,,Abandoned,Formulation,"The application claimed a formulation comprising a glutamic acid or aspartic acid buffer having a pH from about 4.0 to about 6.0, proline at a concentration of about 2% to about 10%, and an antibody or antigen-binding fragment and a method of treating a condition caused by increased expression of nerve growth factor or increased sensitivity to nerve growth factor in a patient, comprising administering to a patient a pharmaceutically effective amount of a formulation comprising a glutamic acid buffer or aspartic acid buffer having a pH from about 4.0 to about 6.0, proline at a concentration of about 2% to about 10%, and an effective amount of an antibody or antigen-binding fragment to nerve-growth factor.",After,No,https://patents.google.com/patent/US20080213282A1/en?oq=US2008213282
Enbrel,US7915225 ,Immunex,Arthritis,Biologic,7,4/19/1999,2/27/2009,3/29/2011,8/13/2019,Expired,Method of Treatment," The patent claims cover a method for treating a patient having psoriasis comprising administering to the patient a therapeutically effective dose of TNFR:Fc, wherein the patient attains at least fifty percent improvement in PASI score.
",After,No,https://patents.google.com/patent/US7915225B2/en?oq=US7915225
Enbrel,US8119604B2 ,Immunex,Arthritis,Biologic,3,2/27/2002,12/7/2009,2/21/2012,2/27/2023,Active,Method of Treatment,"The patent claims cover amethod of treating a mammal suffering from rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, and/or psoriasis, the method comprising administering to the mammal a therapeutically effective amount of a pharmaceutical composition that is a stable aqueous formulation comprising a polypeptide that is an extracellular ligand-binding portion of a human p75 tumor necrosis factor receptor fused to the Fc region of a human IgG1 and an aggregation inhibitor, wherein the aggregation inhibitor in the pharmaceutical composition is L-arginine at a concentration of from about 10 mM to about 200 mM.
 ",After,No,https://patents.google.com/patent/US8119604B2/en?oq=US8119604
Enbrel,US2010267936 ,Amgen,Arthritis,Biologic,5,11/12/1999,4/27/2010,10/21/2010,,Abandoned,Process,"The application claimed a process for preparing a pharmacologically active compound, which comprises: (a) preparing a fusion molecule comprising an Fc domain and a pharmacologically active compound; (b) treating the fusion molecule with guanidine HCl at a concentration of at least about 4 M; (c) increasing the pH to about 8.5; and (d) isolating the treated fusion molecule.",After,No,https://patents.google.com/patent/US20100267936A1/en?oq=US2010267936
Enbrel,US2012142605,Amgen,Arthritis,Biologic,13,5/5/2009,5/5/2010,6/7/2012,,Abandoned,Method of Treatment,"The application claimed a method for treating a patient having psoriasis, comprising: (a) selecting a patient who has (i) a PASI score of at least about 10 and at least about 10% of his/her body surface area (BSA) affected by psoriasis and/or (ii) a sPGA score of >2; (b) administering etanercept to the patient at a dose of about 50 milligrams twice per week for a first time period of about 12 weeks and then administering etanercept to the patient at a dose of about 50 milligrams once per week for an additional time period of about 12 weeks; (c) administering (i) an upper midstrength, potent, or superpotent topical preparation containing a glucocorticoid in any one of Classes 1-3 to the patient once during the first and/or the additional time period of (b), wherein the topical preparation is administered at least once per week for a continuous time period of not more than four weeks or (ii) the topical preparation of (c)(i) intermittently during the first and/or additional time period of (b), wherein the topical preparation is administered on an as-needed basis for one or more continuous time periods of not more than four weeks each, wherein each continuous time period in which the topical preparation is administered is separated by an intervening continuous time period in which the topical preparation is not administered, which is at least as long as the preceding continuous time period during which the topical preparation was administered; and(d) assessing the PASI and/or the sPGA score of the patient at the end of the first time period of (b); wherein the treatment is therapeutically effective.of Treatment 2. Also includes use of PASI diagnostic survey tool",After,No,https://patents.google.com/patent/US20120142605A1/en?oq=US2012142605
Enbrel,US2011027273 ,Wyeth,Arthritis,Biologic,10,10/8/2004,6/23/2010,2/3/2011,,Abandoned,Method of Treatment,The application claimed a method for treating an autoimmune disease in a subject comprising: administering to the subject a therapeutically effective amount of: (a) a B cell depleting agent; and (b) at least one anti-cytokine agent such (etanercept).,After,No,https://patents.google.com/patent/US20110027273A1/en?oq=US2011027273
Enbrel,US8119605 ,Immunex,Arthritis,Biologic,7,4/19/1999,2/4/2011,2/21/2012,8/13/2019,Expired,Method of Treatment,The patent claims cover a method for treating a patient having ordinary psoriasis comprising administering to the patient a therapeutically effective dose of TNFR:Fc. ,After,No,https://patents.google.com/patent/US8119605B2/en?oq=US8119605
Enbrel,US9114175B2,Amgen,Arthritis,Biologic,42,8/12/2005,6/28/2011,8/25/2015,8/10/2036,Active,Formulation,The patent claims cover a  composition of many derivative types of etanercept.,After,No,https://patents.google.com/patent/US9114175B2/en?oq=US9114175B2
Enbrel,US8410060 ,Immunex,Arthritis,Biologic,7,4/19/1999,2/6/2012,4/2/2013,8/13/2019,Expired,Method of Treatment,The patent claims cover a method for treating a patient having psoriatic arthritis comprising administering to the patient a therapeutically effective dose of TNFR:Fc.,After,No,https://patents.google.com/patent/US8410060B2/en?oq=US8410060
Enbrel,US8828947 ,Immunex,Arthritis,Biologic,3,2/27/2002,2/21/2012,9/9/2014,2/27/2023,Active,Formulation,"The patent claims cover akit comprising a composition comprising a polypeptide (etanercept) that is an extracellular ligand-binding portion of a human p75 tumor necrosis factor receptor fused to the Fc region of a human IgG1 and from about 10 mM to about 200 mM L-arginine, and instructions for use of said composition.
",After,No,https://patents.google.com/patent/US8828947B2/en?oq=US8828947
Enbrel,US10092706B2,Amgen,Arthritis,Biologic,15,4/20/2011,4/20/2012,10/9/2018,12/5/2033,Active,Device,"The patent claims cover a a single-use cassette for use with an autoinjector, the cassette comprising: a housing; an inner sleeve disposed in the housing and movable between first and second positions, a syringe disposed in the inner sleeve; a lock cap for securing the syringe in the inner sleeve, the lock cap including an elastomeric bumper, the lock cap affixed to a distal end of the inner sleeve with the elastomeric bumper contacting a distal end of the syringe, wherein the distal end of the inner sleeve comprises at least one receptacle and the lock cap comprises at least one arm member for inserting into the receptacle; and a shield remover extending through an opening in a proximal end of the housing for removing a needle shield from the syringe, wherein the shield remover comprises an elongated body having a proximal end and a distal end, the distal end comprising at least one flexible tongue that expands outwardly when the shield remover is removed from the cassette to prevent the shield remover from being reinserted into the cassette and wherein the cassette comprises the therapeutic product etanercept.",After,No,https://patents.google.com/patent/US10092706B2/en?oq=US10092706B2
Enbrel,US8722631 ,Immunex,Arthritis,Biologic,7,4/19/1999,2/21/2013,5/13/2014,8/13/2019,Expired,Method of Treatment,"The patent claims cover a method of treatment comprising administering a dose of TNFR:Fc to a patient having psoriatic arthritis and/or plaque psoriasis, wherein the dose is administered one time or two times per week, and wherein the dose administered is 25-50 mg or 50-100 mg, andwherein the dose is administered by subcutaneous injection. Treatment 2. psoriatic arthritis or plaque prosiasis",After,No,https://patents.google.com/patent/US8722631B2/en?oq=US8722631
Enbrel,US10481164B2,Amgen,Arthritis,Biologic,43,3/26/2012,3/26/2013,11/19/2019,9/29/2036,Active,Method of Production/Process,The patent claims cover a method for controlling levels of biological impurities in an elution pool from a cation exchange chromatography resin. The patent describes the method can be used in relation to etanercept.,After,No,https://patents.google.com/patent/US10481164B2/en?oq=US10481164B2
Enbrel,US9822388B2,Amgen,Arthritis,Biologic,77,3/14/2013,3/10/2014,11/21/2017,3/10/2034,Active,Method of Production/Process,The patent claims cover a method for modulating one or more high mannose glycan species on a recombinant protein during mammalian cell culture. The patent describes  the claimed invention can be used in relation to etanercept.,After,No,https://patents.google.com/patent/US9822388B2/en?oq=US9822388B2
Enbrel,US2016024144A1,Amgen,Arthritis,Biologic,16,3/14/2013,3/11/2014,1/28/2016,,Abandoned,Method of Production/Process,"The application claimed a method for purifying a recombinant protein (such as etanercept) from a sample containing the recombinant protein and a second protein that binds to the protein, comprising subjecting the sample to a tentacle anion exchange matrix chromatography medium under conditions whereby the recombinant protein binds to the tentacle anion exchange matrix chromatography medium, followed by eluting the recombinant protein bound to the chromatography medium in an eluant, whereby at least 85% of the recombinant protein is recovered in the eluant and at least 75% of the second protein is removed from the eluant.",After,No,https://patents.google.com/patent/US20160024144A1/en?oq=US2016024144A1
Enbrel,US10492990B2,Amgen,Arthritis,Biologic,17,3/15/2013,3/14/2014,12/3/2019,8/30/2036,Active,Device,"The patent claims cover a  cassette for an injector, the cassette comprising: a housing;a cassette identification arrangement (cassette ID) defining a code containing information about the cassette, the code being detectable and decipherable by the injector, the cassette ID disposed on the housing, embedded within the housing, provided on or in a separate structure contained within the housing, or any combination thereof; a sleeve movably disposed within the housing, the sleeve for directly or indirectly holding a drug container; and a locking arrangement for interlocking the sleeve with the housing, the locking arrangement comprising a spring-biased member associated with one of the housing and the sleeve and biased toward the other one of the housing and the sleeve when the locking arrangement is in a locked position, and a fixed member associated with the other one of the housing and the sleeve for interlocking with the spring-biased member; wherein the spring-biased member comprises at least one locking foot and the fixed member comprises at least one slot, the at least one locking foot engaging the at least one slot when the locking arrangement is in the locked position, to interlock the sleeve with the housing wherein the cassette comprises the drug container filled with etanercept. ",After,No,https://patents.google.com/patent/US10492990B2/en?oq=US10492990B2
Enbrel,US10092703B2,Amgen,Arthritis,Biologic,45,3/15/2013,3/14/2014,10/9/2018,7/1/2035,Active,Device,"The patent claims cover a cassette for an injector, the cassette comprising: a housing; and a body member having a fluid chamber for containing a drug and an injection needle in fluid communication with the fluid chamber, the body member moveable in the housing between a proximal position and a distal position; a locking arrangement for interlocking the body member with the housing, the locking arrangement comprising a spring-biased member associated with one of the housing and the body member, and a fixed member associated with the other one of the housing and the body member for interlocking with the spring-biased member;
wherein the locking arrangement further comprises a cam for unlocking the spring-biased and fixed members; wherein the cam is actuated by the injector during a needle-insertion cycle of the injector and wherein the cassette comprises a therapeutic product selected from one of epoetin alfa, darbepoetin alfa, etanercept, TNF-receptor/Fc fusion protein, peqylated filgastrim, peqylated G-CSF, peqylated hu-met-G-CSF, filgrastim, G-CSF, hu-met-G-CSF, romiplostim, panitumumab, cinacalcet, denosamab, AMG 162, an antibody to IL-17 Receptor A, an antagonist of angiopoietin-2, a TNF blocker, and a TNF inhibitor.",After,No,https://patents.google.com/patent/US10092703B2/en?oq=US10092703B2
